world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,year
151-200,University of Hawaii at Manoa,65-77,,0,0,20.1,23.8,2014
151-200,University of Illinois at Chicago,65-77,,0,0,18.9,14.4,2014
151-200,University of Iowa,65-77,,0,0,20.3,21.2,2014
151-200,University of Kiel,ago-13,,10.5,13.3,12.2,13.4,2014
151-200,University of Koeln,ago-13,,0,11.5,8.6,17.5,2014
151-200,University of Lausanne,06-jul,,0,0,14.9,23.3,2014
151-200,University of Miami,65-77,,0,0,22,18.9,2014
151-200,University of Milan,01-jun,,17.5,0,14.2,10.5,2014
151-200,University of Muenster,ago-13,,19.7,13.3,13.2,15.2,2014
151-200,University of Padua,01-jun,,0,0,11.3,17.7,2014
151-200,University of Paris Descartes (Paris 5),8,,11.8,9.4,12.2,16.2,2014
151-200,University of Pisa,01-jun,,13.9,23.1,7.2,6.7,2014
151-200,University of Roma - La Sapienza,01-jun,,11.8,13.3,5.1,11.6,2014
151-200,University of Science and Technology of China,04-jun,,0,0,15.9,15.2,2014
151-200,University of Sussex,18-20,,0,22.4,15.2,13.5,2014
151-200,University of Tuebingen,ago-13,,22.9,0,12.2,18.7,2014
151-200,University of Turin,01-jun,,15.8,0,16.2,9.5,2014
151-200,University of Vienna,1,,13.9,0,17.2,21.9,2014
151-200,University of Warwick,18-20,,0,0,22.5,13.1,2014
151-200,University of Wuerzburg,ago-13,,19.7,0,18.9,15,2014
151-200,Virginia Commonwealth University,65-77,,10.5,14.1,15.9,11.8,2014
151-200,Zhejiang University,04-jun,,0,0,7.1,12.5,2014
201-300,Autonomous University of Barcelona,02-abr,,0,0,5,13.7,2014
201-300,Autonomous University of Madrid,02-abr,,0,0,11.3,12,2014
201-300,Beijing Normal University,07-dic,,15.8,0,5,7.8,2014
201-300,Charles University in Prague,1,,9.1,0,0,10.4,2014
201-300,City University of Hong Kong,03-abr,,0,0,18.1,1.5,2014
201-300,Claude Bernard University Lyon 1,sep-14,,10.5,0,0,17.4,2014
201-300,Colorado State University,78-104,,0,0,20.3,13.6,2014
201-300,Dalhousie University,ago-16,,0,0,12.2,15.2,2014
201-300,Dartmouth College,78-104,,18.2,0,20.7,14.1,2014
201-300,Delft University of Technology,09-oct,,11.8,0,8.6,18.3,2014
201-300,Durham University,21-29,,0,0,19.6,15.5,2014
201-300,Ecole Normale Superieure - Lyon,sep-14,,0,20,3.6,11.7,2014
201-300,Florida State University,78-104,,0,0,14.6,16,2014
201-300,Harbin Institute of Technology,07-dic,,0,0,10,2.9,2014
201-300,Huazhong University of Science and Technology,07-dic,,0,0,0,7.7,2014
201-300,Karlsruhe Institute of Technology (KIT),14-22,,0,0,12,15.1,2014
201-300,Kobe University,09-oct,,14.9,0,5.1,14.7,2014
201-300,Korea Advanced Institute of Science and Technology,02-may,,0,0,8.3,16.8,2014
201-300,Korea University,02-may,,0,0,8.7,10.2,2014
201-300,Laval University,ago-16,,0,0,15,9.3,2014
201-300,Louisiana State University - Baton Rouge,78-104,,0,0,13.6,12.6,2014
201-300,Maastricht University,09-oct,,0,0,10.7,6.6,2014
201-300,Macquarie University,9,,0,0,18.1,13,2014
201-300,Medical University of Vienna,02-mar,,9.1,9.4,8.6,9.7,2014
201-300,Nanjing University,07-dic,,0,0,0.7,6.9,2014
201-300,National Autonomous University of Mexico,1,,12.9,0,3.3,10.4,2014
201-300,National Cheng Kung University,02-mar,,0,0,10.1,2.7,2014
201-300,National Tsing Hua University,02-mar,,12.9,0,5.1,12.6,2014
201-300,Newcastle University,21-29,,0,0,12.2,16,2014
201-300,Northeastern University,78-104,,0,0,15.9,18.1,2014
201-300,Norwegian University of Science and Technology - NTNU,02-mar,,13.9,0,10.1,13.4,2014
201-300,Paul Sabatier University (Toulouse 3),sep-14,,0,0,12.3,20.6,2014
201-300,Polytechnic Institute of Milan,07-ago,,7.4,14.9,5,8.4,2014
201-300,"Queen Mary, University of London",21-29,,18.2,0,18.1,11.6,2014
201-300,Queen's University,ago-16,,0,0,13.1,11.8,2014
201-300,Rensselaer Polytechnic Institute,78-104,,12.9,0,13.9,12.2,2014
201-300,Royal Institute of Technology,06-ago,,0,14.9,3.6,9.9,2014
201-300,RWTH Aachen University,14-22,,0,0,15.1,8.1,2014
201-300,Simon Fraser University,ago-16,,0,0,12.2,12.9,2014
201-300,State University of New York at Buffalo,78-104,,0,0,13.1,8.1,2014
201-300,Stony Brook University,78-104,,0,0,14.8,18.9,2014
201-300,Sun Yat-sen University,07-dic,,0,0,8.7,8.8,2014
201-300,Sungkyunkwan University,02-may,,0,0,0,12.2,2014
201-300,Swedish University of Agricultural Sciences,06-ago,,0,0,13.3,13.3,2014
201-300,The George Washington University,78-104,,11.8,0,6.3,11.1,2014
201-300,The Hong Kong University of Science and Technology,03-abr,,0,0,17.4,8.1,2014
201-300,The University of Alabama at Birmingham,78-104,,0,0,18.1,13.6,2014
201-300,The University of Auckland,01-feb,,13.9,0,10.1,13.5,2014
201-300,The University of Dundee,21-29,,0,0,16.8,16,2014
201-300,The University of New Mexico - Albuquerque,78-104,,0,0,14.9,16.8,2014
201-300,The University of Texas Health Science Center at Houston,78-104,,0,15.4,13.9,9.7,2014
201-300,TU Dresden,14-22,,0,0,10.7,16,2014
201-300,Umea University,06-ago,,0,0,12.2,11.3,2014
201-300,University College Dublin,2,,0,0,10.7,12.3,2014
201-300,University of Aberdeen,21-29,,0,13.3,12.2,12.6,2014
201-300,University of Bergen,02-mar,,0,0,10.7,14.6,2014
201-300,University of Bochum,14-22,,0,0,13.3,9.9,2014
201-300,University of Bordeaux,sep-14,,0,0,14.3,16.6,2014
201-300,University of Cape Town,01-feb,,19,0,12.2,10,2014
201-300,University of Cincinnati,78-104,,0,0,22.6,9.3,2014
201-300,University of Erlangen-Nuremberg,14-22,,0,0,15.9,14.6,2014
201-300,University of Exeter,21-29,,0,0,17.8,18.8,2014
201-300,University of Florence,07-ago,,0,0,16.8,10.5,2014
201-300,University of Guelph,ago-16,,0,0,17.5,9.7,2014
201-300,University of Houston,78-104,,0,0,17.3,11.4,2014
201-300,University of Innsbruck,02-mar,,0,9.4,14.8,17.1,2014
201-300,University of Kansas,78-104,,11.8,0,11.3,13.3,2014
201-300,University of Kentucky,78-104,,10.5,0,3.6,12.5,2014
201-300,University of Leicester,21-29,,0,0,14.6,18.8,2014
201-300,University of Leipzig,14-22,,11.8,13.3,5,9.6,2014
201-300,University of Liege,5,,7.4,0,10.1,14.6,2014
201-300,University of Lisbon,1,,0,8.1,5,10.8,2014
201-300,University of Lorraine,sep-14,,11.8,16.3,0,7.9,2014
201-300,University of Mainz,14-22,,0,7.7,8.9,16.8,2014
201-300,University of Marburg,14-22,,10.5,0,14.3,12.1,2014
201-300,"University of Maryland, Baltimore",78-104,,0,0,19.1,15.6,2014
201-300,University of Missouri - Columbia,78-104,,9.1,0,3.6,15.2,2014
201-300,University of Montpellier 2,sep-14,,10.5,0,6.3,15,2014
201-300,University of Nebraska - Lincoln,78-104,,17.5,0,16.8,12.5,2014
201-300,University of Notre Dame,78-104,,12.9,0,17.5,13,2014
201-300,University of Oregon,78-104,,9.1,0,10.1,17,2014
201-300,University of Otago,01-feb,,0,0,12.2,11.3,2014
201-300,University of Ottawa,ago-16,,0,0,8.6,13.4,2014
201-300,University of South Carolina - Columbia,78-104,,0,0,16.8,6.9,2014
201-300,University of South Florida,78-104,,0,0,16.3,9.7,2014
201-300,University of St Andrews,21-29,,10.5,0,3.8,17.7,2014
201-300,University of Stuttgart,14-22,,19,0,10.1,11.7,2014
201-300,University of Tennessee - Knoxville,78-104,,10.5,0,15.9,13.1,2014
201-300,University of the Witwatersrand,01-feb,,19,0,7.1,16.3,2014
201-300,University of Tsukuba,09-oct,,0,19.6,5.8,10.9,2014
201-300,University of Valencia,02-abr,,0,0,8.6,9.4,2014
201-300,University of Victoria,ago-16,,0,0,17.2,8.2,2014
201-300,University of Waterloo,ago-16,,0,0,14.6,12.6,2014
201-300,University of York,21-29,,0,0,13.9,16.2,2014
201-300,Virginia Polytechnic Institute and State University,78-104,,11.8,0,11.4,8.4,2014
201-300,Washington State University,78-104,,0,0,17.3,10,2014
201-300,Western University (The University of Western Ontario),ago-16,,0,0,5.1,15,2014
201-300,Xian Jiao Tong University,07-dic,,0,0,8.7,8.1,2014
201-300,Yeshiva University,78-104,,0,0,6.3,21.8,2014
201-300,Yonsei University,02-may,,0,0,8.6,6.6,2014
301-400,Beihang University,13-25,,0,0,8.6,4.1,2014
301-400,Brandeis University,105-125,,19.7,0,3.6,20.3,2014
301-400,Brigham Young University,105-125,,9.1,0,12.2,6.7,2014
301-400,Central South University,13-25,,0,0,7.1,1.5,2014
301-400,Chalmers University of Technology,09-oct,,0,0,8.9,11.1,2014
301-400,Chiba University,nov-14,,0,0,8.7,10.1,2014
301-400,China Agricultural University,13-25,,0,0,0,13.1,2014
301-400,City University of New York City College,105-125,,29.3,0,5.1,8.4,2014
301-400,Complutense University of Madrid,05-ago,,19.7,0,0,5.5,2014
301-400,Curtin University,oct-18,,0,0,7.1,12.1,2014
301-400,Dalian University of Technology,13-25,,0,0,5,4.6,2014
301-400,Drexel University,105-125,,0,0,12.3,8.8,2014
301-400,Ecole Polytechnique,15-17,,17.5,0,5.1,9.7,2014
301-400,Eindhoven University of Technology,11-dic,,0,0,12.3,8.4,2014
301-400,Eotvos Lorand University,1,,13.9,0,10.1,8.6,2014
301-400,ESPCI ParisTech,15-17,,7.4,18.8,0,9.5,2014
301-400,Federal University of Minas Gerais,02-may,,0,0,3.6,4.9,2014
301-400,Federal University of Rio de Janeiro,02-may,,0,0,0,8.1,2014
301-400,Flinders University,oct-18,,15.8,0,5.1,4.1,2014
301-400,Georgetown University,105-125,,0,0,11.1,9.1,2014
301-400,Griffith University,oct-18,,0,0,3.6,7.6,2014
301-400,Hannover Medical School,23-30,,0,0,8.7,7.5,2014
301-400,Hanyang University,06-ago,,0,0,0,6.7,2014
301-400,Hiroshima University,nov-14,,0,0,4.8,13.6,2014
301-400,Indian Institute of Science,1,,0,0,7.2,2.9,2014
301-400,Indiana University-Purdue University at Indianapolis,105-125,,0,0,7.1,11.9,2014
301-400,Jagiellonian University,01-feb,,10.5,0,3.6,6.8,2014
301-400,James Cook University,oct-18,,0,0,10.1,15.7,2014
301-400,Jilin University,13-25,,0,0,0,9.9,2014
301-400,Keio University,nov-14,,0,0,5.1,13,2014
301-400,Kyung Hee University,06-ago,,0,0,5,3.1,2014
301-400,Lancaster University,30-33,,0,0,13.9,7.5,2014
301-400,Lanzhou University,13-25,,0,0,7.1,2.2,2014
301-400,Linkoping University,09-oct,,0,0,10.7,9.5,2014
301-400,London School of Hygiene & Tropical Medicine,30-33,,7.4,0,7.1,5.8,2014
301-400,Nankai University,13-25,,0,0,5,6.8,2014
301-400,National and Kapodistrian University of Athens,1,,0,0,10.6,3.8,2014
301-400,National Chiao Tung University,4,,0,0,8.6,9.3,2014
301-400,Pohang University of Science and Technology,06-ago,,0,0,7.1,11.1,2014
301-400,Polytechnic University of Valencia,05-ago,,0,0,10.4,12.2,2014
301-400,Queen's University Belfast,30-33,,18.2,0,0,10.9,2014
301-400,Saint Petersburg State University,2,,27.3,0,0,6.1,2014
301-400,San Diego State University,105-125,,0,0,14.3,11.5,2014
301-400,Scuola Normale Superiore - Pisa,09-dic,,0,0,7.2,7.1,2014
301-400,Shandong University,13-25,,0,0,0,3.6,2014
301-400,Sichuan University,13-25,,0,0,0,3.1,2014
301-400,South China University of Technology,13-25,,0,0,7.1,5.7,2014
301-400,Southeast University,13-25,,0,0,8.7,7.5,2014
301-400,SUNY at Albany,105-125,,0,0,13.1,7.2,2014
301-400,Swinburne University of Technology,oct-18,,0,0,11.3,13.1,2014
301-400,Technical University of Berlin,23-30,,16.6,0,7.8,6.6,2014
301-400,Temple University,105-125,,0,0,13.3,7.1,2014
301-400,The Hong Kong Polytechnic University,5,,0,0,11.3,3.8,2014
301-400,The University of Montana - Missoula,105-125,,5.3,0,15.9,15,2014
301-400,The University of Reading,30-33,,0,0,14.3,10.8,2014
301-400,The University of Texas at Dallas,105-125,,0,0,10.1,11.5,2014
301-400,The University of Texas Health Science Center at San Antonio,105-125,,0,0,20.1,9.5,2014
301-400,Thomas Jefferson University,105-125,,0,0,8.9,8.8,2014
301-400,Tokyo Medical and Dental University,nov-14,,0,0,8.6,11.4,2014
301-400,Tongji University,13-25,,0,0,0,7.9,2014
301-400,Tulane University,105-125,,0,0,12.2,8.4,2014
301-400,UNESP,02-may,,0,0,0,7.9,2014
301-400,University of Antwerp,06-jul,,0,0,5.1,11,2014
301-400,University of Belgrade,1,,0,0,0,2.2,2014
301-400,University of Campinas,02-may,,0,0,3.6,4.6,2014
301-400,University of Central Florida,105-125,,0,0,13.6,10.8,2014
301-400,University of Colorado at Denver,105-125,,0,0,15.9,8.3,2014
301-400,University of Connecticut,105-125,,11.8,0,8,7.8,2014
301-400,University of Duesseldorf,23-30,,11.8,0,6.1,11,2014
301-400,University of Duisburg-Essen,23-30,,0,0,8.6,9.5,2014
301-400,University of Giessen,23-30,,0,0,12.3,10.1,2014
301-400,University of Granada,05-ago,,0,0,7.1,9.4,2014
301-400,University of Halle-Wittenberg,23-30,,0,6.7,3.6,11.3,2014
301-400,University of Konstanz,23-30,,0,0,12.1,12.5,2014
301-400,University of Malaya,1,,0,0,5,3.4,2014
301-400,University of Manitoba,17-18,,0,0,8.1,8.8,2014
301-400,University of Milan - Bicocca,09-dic,,0,0,5,6.9,2014
301-400,University of Naples Federico II,09-dic,,0,0,8.6,5.1,2014
301-400,University of Newcastle,oct-18,,0,0,11.1,7.1,2014
301-400,University of Oulu,02-mar,,11.8,0,8.6,8.2,2014
301-400,University of Paris Dauphine (Paris 9),15-17,,15.8,26.6,3.6,0,2014
301-400,University of Pompeu Fabra,05-ago,,0,0,5,17.2,2014
301-400,University of Porto,2,,0,0,0,9.4,2014
301-400,University of Rhode Island,105-125,,0,0,15.2,9.3,2014
301-400,University of Roma - Tor Vergata,09-dic,,0,0,0,10.7,2014
301-400,University of Saskatchewan,17-18,,9.1,0,7.9,7.7,2014
301-400,University of Southern Denmark,4,,0,0,7.2,11.7,2014
301-400,University of Tasmania,oct-18,,0,0,10.1,15.6,2014
301-400,"University of Technology, Sydney",oct-18,,0,0,14.3,4.1,2014
301-400,University of Tehran,1,,12.9,0,10,0,2014
301-400,University of Turku,02-mar,,0,0,6.3,8.4,2014
301-400,University of Twente,11-dic,,0,0,5.1,10.4,2014
301-400,University of Ulm,23-30,,0,0,12.3,12.5,2014
301-400,University of Vermont,105-125,,13.9,0,12.2,9,2014
301-400,University of Warsaw,01-feb,,15.8,0,0,8.6,2014
301-400,University of Wollongong,oct-18,,0,0,12.2,7.5,2014
301-400,Vrije University Brussel,06-jul,,13.9,0,5,9.6,2014
301-400,Wake Forest University,105-125,,0,0,14.9,7.5,2014
301-400,Wayne State University,105-125,,0,0,3.6,10.1,2014
301-400,Xiamen University,13-25,,0,0,5.5,8.8,2014
401-500,Aalborg University,5,,0,0,12.2,3.4,2014
401-500,Aalto University,04-may,,0,0,0,9.6,2014
401-500,Aristotle University of Thessaloniki,2,,0,0,4.9,2.2,2014
401-500,Auburn University,126-146,,0,0,8.6,6,2014
401-500,Bar-Ilan University,05-jun,,0,0,7.2,7.4,2014
401-500,Ben-Gurion University of the Negev,05-jun,,0,0,3.6,7.2,2014
401-500,Bielefeld University,31-39,,0,0,11.8,7.1,2014
401-500,Boston College,126-146,,0,0,8.6,12.9,2014
401-500,Brunel University,34-38,,0,0,12.2,3.8,2014
401-500,Cairo University,1,,19.7,0,0,3.8,2014
401-500,Capital University of Medical Sciences,26-32,,0,0,0,0,2014
401-500,Carleton University,19-21,,0,0,12.2,5.3,2014
401-500,Catholic University of Chile,01-feb,,0,0,3.6,8.6,2014
401-500,Catholic University of Korea,09-oct,,0,0,0,1.5,2014
401-500,Catholic University of the Sacred Heart,13-21,,0,0,3.6,7.5,2014
401-500,Chang Gung University,05-jul,,0,0,3.6,3.3,2014
401-500,Clemson University,126-146,,0,0,6.3,8.7,2014
401-500,Deakin University,19,,0,0,0,8.4,2014
401-500,East China University of Science and Technology,26-32,,0,0,5,4.9,2014
401-500,Ewha Womans University,09-oct,,0,0,5,9,2014
401-500,Federal University of Rio Grande do Sul,6,,0,0,0,4.7,2014
401-500,Istanbul University,1,,13.9,0,0,3.3,2014
401-500,Kanazawa University,15-19,,0,0,5.1,10.5,2014
401-500,Kansas State University,126-146,,0,0,7.1,11.2,2014
401-500,Kent State University,126-146,,0,0,5.1,13,2014
401-500,King Abdullah University of Science and Technology,03-abr,,0,0,16.8,9.6,2014
401-500,King Fahd University of Petroleum & Minerals,03-abr,,0,0,17.9,4.9,2014
401-500,Medical University of Graz,04-jun,,0,9.4,3.6,4.4,2014
401-500,Medical University of South Carolina,126-146,,0,0,7.2,6,2014
401-500,MINES ParisTech,18-21,,13.9,24.9,0,3.8,2014
401-500,Nanjing Medical University,26-32,,0,0,0,4.1,2014
401-500,National Sun Yat-Sen University,05-jul,,0,0,12.3,2.4,2014
401-500,National Yang Ming University,05-jul,,0,0,0,4.2,2014
401-500,Okayama University,15-19,,0,0,3.6,10.6,2014
401-500,Oklahoma State University,126-146,,0,0,8.6,4.9,2014
401-500,Osaka City University,15-19,,15.8,0,3.6,6.5,2014
401-500,Peking Union Medical College,26-32,,0,0,0,9.9,2014
401-500,Polytechnic University of Catalonia,09-dic,,0,0,5,8.3,2014
401-500,Rush University,126-146,,0,0,10.7,6.6,2014
401-500,Saint Louis University,126-146,,0,11.5,5.1,4.6,2014
401-500,Soochow University,26-32,,0,0,0,4.2,2014
401-500,State University of New York Health Science Center at Brooklyn,126-146,,0,15.4,5.1,7.1,2014
401-500,Stellenbosch University,03-abr,,0,0,5,5.8,2014
401-500,Stockholm School of Economics,11,,0,16.3,0,,2014
401-500,Syracuse University,126-146,,0,0,8.1,8.1,2014
401-500,Technical University Darmstadt,31-39,,14.9,0,3.6,7.9,2014
401-500,Technical University of Braunschweig,31-39,,12.9,0,3.6,9.3,2014
401-500,The Open University,34-38,,0,0,6.3,12.9,2014
401-500,The University of Texas Medical Branch at Galveston,126-146,,0,0,13.9,5,2014
401-500,Tianjin University,26-32,,0,0,0,1.5,2014
401-500,Tilburg University,13,,0,0,0,,2014
401-500,Tokyo University of Science,15-19,,0,0,7.1,8.4,2014
401-500,University College Cork,3,,0,0,13.1,7.7,2014
401-500,University of Alaska - Fairbanks,126-146,,0,0,12.2,11.4,2014
401-500,University of Arkansas at Fayetteville,126-146,,0,0,12.2,6.2,2014
401-500,University of Arkansas at Little Rock,126-146,,0,0,10.7,2.2,2014
401-500,University of Auvergne,18-21,,0,0,7.1,10.9,2014
401-500,University of Bath,34-38,,0,0,5.1,11.9,2014
401-500,University of Bayreuth,31-39,,0,0,8.6,14.9,2014
401-500,University of Bremen,31-39,,0,0,0,13.1,2014
401-500,University of Cagliari,13-21,,0,0,10.1,3.9,2014
401-500,University of Canterbury,03-abr,,0,0,3.6,9.2,2014
401-500,University of Chile,01-feb,,7.4,0,0,10.1,2014
401-500,University of Coimbra,3,,0,0,0,8.2,2014
401-500,University of Eastern Finland,04-may,,0,0,12.3,5.3,2014
401-500,University of Essex,34-38,,19.7,0,8.6,1.5,2014
401-500,University of Ferrara,13-21,,0,0,10.1,6.9,2014
401-500,University of Genova,13-21,,0,0,7.2,3.1,2014
401-500,University of Graz,04-jun,,7.4,9.4,0,6.3,2014
401-500,University of Hannover,31-39,,0,0,8.6,10.5,2014
401-500,University of Jena,31-39,,0,0,0,8.4,2014
401-500,University of KwaZulu-Natal,03-abr,,0,0,3.6,9,2014
401-500,University of Ljubljana,1,,0,0,0,5.2,2014
401-500,"University of Maryland, Baltimore County",126-146,,0,0,17.4,7.1,2014
401-500,University of New Hampshire - Durham,126-146,,0,0,14.3,10.6,2014
401-500,University of Nice Sophia Antipolis,18-21,,0,0,3.6,14.9,2014
401-500,University of Oklahoma - Norman,126-146,,0,0,5.1,10.9,2014
401-500,University of Palermo,13-21,,0,0,6.3,6.2,2014
401-500,University of Parma,13-21,,0,0,13.6,5,2014
401-500,University of Pavia,13-21,,0,0,5,6.9,2014
401-500,University of Perugia,13-21,,0,0,3.6,9.2,2014
401-500,University of Quebec,19-21,,0,0,0,9.4,2014
401-500,University of Regensburg,31-39,,0,0,3.6,13.9,2014
401-500,University of Rennes 1,18-21,,0,0,3.6,9.2,2014
401-500,University of Rostock,31-39,,0,0,8.6,8,2014
401-500,University of Santiago Compostela,09-dic,,0,0,7.1,6.2,2014
401-500,"University of Science, Malaysia",2,,0,0,5,3.8,2014
401-500,University of Surrey,34-38,,0,0,8.6,5.1,2014
401-500,University of Szeged,2,,0,13.3,3.6,5.7,2014
401-500,University of Tennessee Health Science Center,126-146,,0,0,12.3,8.4,2014
401-500,University of the Basque Country,09-dic,,0,0,3.6,6.9,2014
401-500,University of Trieste,13-21,,0,0,5,11.5,2014
401-500,University of Wyoming,126-146,,0,0,3.6,15.5,2014
401-500,University of Zaragoza,09-dic,,0,0,7.6,3.8,2014
401-500,Utah State University,126-146,,13.9,0,3.6,10.5,2014
401-500,Victoria University of Wellington,03-abr,,11.8,0,0,8.4,2014
401-500,Vienna University of Technology,04-jun,,0,0,0,10.3,2014
401-500,Waseda University,15-19,,0,0,6.1,7.7,2014
401-500,Wuhan University,26-32,,0,0,0,2.7,2014
401-500,York University,19-21,,0,0,0,10.1,2014
1,Harvard University,1,100,100,100,100,100,2015
2,Stanford University,2,73.3,40.7,89.6,80.1,70.1,2015
3,Massachusetts Institute of Technology (MIT),3,70.4,68.2,80.7,60.6,73.1,2015
4,"University of California, Berkeley",4,69.6,65.1,79.4,66.1,65.6,2015
5,University of Cambridge,1,68.8,77.1,96.6,50.8,55.6,2015
6,Princeton University,5,61,53.3,93.4,57.1,43,2015
7,California Institute of Technology,6,59.6,49.5,66.7,49.3,56.4,2015
8,Columbia University,7,58.8,63.5,65.9,52.1,51.9,2015
9,University of Chicago,8,57.1,59.8,86.3,49,42.9,2015
10,University of Oxford,2,56.6,49.7,54.9,52.3,51.9,2015
11,Yale University,9,54.5,47.6,50.4,51,58.8,2015
12,"University of California, Los Angeles",10,50.7,29.5,47.1,52.3,47.2,2015
13,Cornell University,11,50.5,42,49.8,50.4,45.3,2015
14,"University of California, San Diego",12,48.7,19.2,35.5,56.6,55.1,2015
15,University of Washington,13,47.8,21.2,31.6,53,51.7,2015
16,Johns Hopkins University,14,46.3,37.7,33.6,44,44.9,2015
17,University of Pennsylvania,15,46.1,31.6,33.8,49.6,39.6,2015
18,University College London,3,44.5,28.1,36.2,38.5,40.6,2015
18,"University of California, San Francisco",16,44.5,0,39.9,46.8,53.5,2015
20,Swiss Federal Institute of Technology Zurich,1,43.7,29.5,35.5,38.4,45.9,2015
21,The University of Tokyo,1,42,30.8,14.1,41.9,48.6,2015
22,University of Michigan-Ann Arbor,17,41.7,34.4,0,56.2,41.3,2015
23,"The Imperial College of Science, Technology and Medicine",4,41.5,14.5,35.8,44.2,34.5,2015
24,University of Wisconsin - Madison,18,41.1,30.8,34.8,40.2,35.7,2015
25,University of Toronto,1,40.6,19.9,17.2,38.8,38.6,2015
26,Kyoto University,2,38.9,31.6,37.2,33.6,32.6,2015
27,New York University,19,38.8,28.1,31.9,35.2,40.3,2015
27,Northwestern University,19,38.8,15.4,22.1,50.3,37,2015
29,University of Illinois at Urbana-Champaign,21,38.6,29.9,36.2,34.9,32.4,2015
30,"University of Minnesota, Twin Cities",22,38.5,29.5,16.3,47.3,32.5,2015
31,Duke University,23,38,15.4,14.9,50.2,39,2015
32,Washington University in St. Louis,24,37.4,22.9,24.9,40.7,41.8,2015
33,Rockefeller University,25,36.5,17,59.8,30.3,40.9,2015
34,University of Colorado at Boulder,26,36,12.6,34.1,37.1,36,2015
35,University of Copenhagen,1,35.7,21.8,18.8,28,34,2015
36,Pierre and Marie  Curie University - Paris 6,1,35,33.6,27.4,25.8,29.8,2015
37,The University of Texas at Austin,27,34.8,16.2,16.3,38.6,37.5,2015
38,"University of California, Santa Barbara",28,34.6,14.5,39.1,38.7,27.5,2015
39,University of North Carolina at Chapel Hill,29,34.4,8.9,16.3,39.8,33.5,2015
40,University of British Columbia,2,34.1,15.4,18.8,32.8,32,2015
41,The University of Manchester,5,33.6,18.5,32.6,27.1,26.1,2015
41,University of Paris-Sud (Paris 11),2,33.6,30.3,54.3,16.8,17.4,2015
43,"University of Maryland, College Park",30,32.8,19.2,20,33,31.6,2015
44,The University of Melbourne,1,32.3,17,13.3,28.6,25.3,2015
44,The University of Texas Southwestern Medical Center at Dallas,31,32.3,18.5,34.5,31.1,35.6,2015
46,Heidelberg University,1,32.2,19.9,25.3,23.7,29.4,2015
47,The University of Edinburgh,6,32,20.5,24.9,25.8,30.5,2015
48,Karolinska Institute,1,31.9,22.4,26.6,24.8,23.5,2015
49,University of Southern California,32,31.3,0,31.7,35.6,22.1,2015
50,"University of California, Irvine",33,31,0,29.3,34.3,28.9,2015
51,Technical University Munich,2,30.5,34.8,21.6,22.3,23.2,2015
52,University of Munich,3,30.3,25.6,19.1,20.3,28.9,2015
53,Vanderbilt University,34,30.2,15.4,29,28.4,21.8,2015
54,University of Zurich,2,30.1,5.1,24,27.1,29,2015
55,King's College London,7,30,21.2,21,29.5,18.2,2015
56,Utrecht University,1,29.8,22.9,20,29.1,25.4,2015
57,"University of California, Davis",35,29.7,0,0,41,33,2015
58,University of Geneva,3,29.4,27.1,28.2,21.4,27.6,2015
58,University of Oslo,1,29.4,28.1,32.6,15.9,18.2,2015
60,Pennsylvania State University - University Park,36,29.3,10.3,0,41.6,31.6,2015
61,Carnegie Mellon University,37,29.2,31.6,31.6,28.6,15.2,2015
61,Purdue University - West Lafayette,37,29.2,13.6,23.1,27.7,25.1,2015
61,Uppsala University,2,29.2,17.8,27.4,18.4,24.6,2015
64,McGill University,3,28.5,32.8,0,22.8,27.3,2015
64,"Rutgers, The State University of New Jersey - New Brunswick",39,28.5,10.3,18.8,34.5,24.8,2015
66,University of Bristol,8,28.3,7.3,16.3,25.7,32.4,2015
67,The Hebrew University of Jerusalem,1,28.2,32,28.2,19.6,21.5,2015
67,The Ohio State University - Columbus,40,28.2,12.6,0,38.3,22.8,2015
67,University of Helsinki,1,28.2,12.6,16.3,25.2,22.4,2015
70,"University of Pittsburgh, Pittsburgh Campus",41,28.1,18.5,0,39.8,19.2,2015
71,Ghent University,1,27.8,5.1,13.3,26.9,18.3,2015
72,Ecole Normale Superieure - Paris,3,27.6,48.9,28,6.2,19.5,2015
73,Aarhus University,2,27.3,11.5,22.1,12.3,25.8,2015
73,Boston University,42,27.3,11.5,11.5,29.1,26.3,2015
75,Brown University,43,27,14.5,13.3,26.2,25.1,2015
75,University of Groningen,2,27,0,18.8,23,21,2015
77,Nagoya University,3,26.7,29,25.3,16.8,17.7,2015
77,Stockholm University,3,26.7,24.1,27.4,18.1,19.4,2015
77,Technion-Israel Institute of Technology,2,26.7,23.5,37.6,15.2,18.3,2015
77,The Australian National University,2,26.7,13.6,19.2,24.8,20.1,2015
77,The University of Queensland,2,26.7,12.6,0,22,24,2015
82,Leiden University,3,26.5,17.8,9.4,25.7,22,2015
83,University of Florida,44,26.2,17,0,30.9,21,2015
84,Rice University,45,26,16.2,21.7,28.1,22.8,2015
85,Osaka University,4,25.7,8.9,0,31.6,26.7,2015
86,Moscow State University,1,25.3,41.4,33,0,7.7,2015
87,The University of Western Australia,4,24.9,13.6,14.1,24.1,14.5,2015
87,University of Basel,4,24.9,19.2,16.3,17.4,21.4,2015
87,University of Strasbourg,4,24.9,25.1,28.8,15.9,19,2015
90,KU Leuven,2,24.7,0,0,30.1,18.6,2015
